web-scraper-order,web-scraper-start-url,titre,prix,adresse,image_url-src,pagination,pagination-href
"1751050245-51","https://sn.coinafrique.com/categorie/moutons","Mouton","350 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5234191_uploaded_image1_1742083080.jpg","",""
"1751050245-52","https://sn.coinafrique.com/categorie/moutons","Mouton de race","350 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5228921_uploaded_image1_1741801692.jpg","",""
"1751050245-53","https://sn.coinafrique.com/categorie/moutons","Mouton","350 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5228913_uploaded_image1_1741801582.jpg","",""
"1751050245-54","https://sn.coinafrique.com/categorie/moutons","Mouton","300 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_5200965_uploaded_image1_1740410729.jpg","",""
"1751050245-55","https://sn.coinafrique.com/categorie/moutons","Mouton","350 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5196558_uploaded_image1_1740141766.jpg","",""
"1751050245-56","https://sn.coinafrique.com/categorie/moutons","Mouton","325 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5196554_uploaded_image1_1740141524.jpg","",""
"1751050245-57","https://sn.coinafrique.com/categorie/moutons","Mouton Ladoum","300 000CFA","Diourbel, Sénégal","https://images.coinafrique.com/thumb_5187810_uploaded_image1_1739676570.jpg","",""
"1751050245-58","https://sn.coinafrique.com/categorie/moutons","Mouton Ladoum","300 000CFA","Diourbel, Sénégal","https://images.coinafrique.com/thumb_5187800_uploaded_image1_1739674108.jpg","",""
"1751050245-59","https://sn.coinafrique.com/categorie/moutons","Mouton Ladoum","300 000CFA","Diourbel, Sénégal","https://images.coinafrique.com/thumb_5187761_uploaded_image1_1739669832.jpg","",""
"1751050245-60","https://sn.coinafrique.com/categorie/moutons","Mouton Ladoum","300 000CFA","Diourbel, Sénégal","https://images.coinafrique.com/thumb_5187749_uploaded_image1_1739669547.jpg","",""
"1751050245-61","https://sn.coinafrique.com/categorie/moutons","Ladoum","750 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5179072_uploaded_image1_1739195002.jpg","",""
"1751050245-62","https://sn.coinafrique.com/categorie/moutons","Bélier","225 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5179070_uploaded_image1_1739194872.jpg","",""
"1751050245-63","https://sn.coinafrique.com/categorie/moutons","Mouton","200 000CFA","Biscuiterie, Dakar, Sénégal","https://images.coinafrique.com/thumb_5164450_uploaded_image1_1738427830.jpg","",""
"1751050245-64","https://sn.coinafrique.com/categorie/moutons","Mouton","180 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5159269_uploaded_image1_1738163617.jpg","",""
"1751050245-65","https://sn.coinafrique.com/categorie/moutons","Mouton Ladoum","375 000CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_5144166_uploaded_image1_1737393386.jpg","",""
"1751050245-66","https://sn.coinafrique.com/categorie/moutons","Mouton Ladoum","1 000 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5114763_uploaded_image1_1735745896.jpg","",""
"1751050245-67","https://sn.coinafrique.com/categorie/moutons","Mouton","180 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5114762_uploaded_image1_1735745550.jpg","",""
"1751050245-68","https://sn.coinafrique.com/categorie/moutons","Mouton","140 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5090703_uploaded_image1_1734111129.jpg","",""
"1751050245-69","https://sn.coinafrique.com/categorie/moutons","Mouton Ladoum","500 000CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_5026510_uploaded_image1_1730734414.jpg","",""
"1751050245-70","https://sn.coinafrique.com/categorie/moutons","Mouton Ladoum","1 000 000CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_5026478_uploaded_image1_1730733079.jpg","",""
"1751050245-71","https://sn.coinafrique.com/categorie/moutons","Mouton","150 000CFA","Niaga, Sénégal","https://images.coinafrique.com/thumb_4995716_uploaded_image1_1729028654.jpg","",""
"1751050245-72","https://sn.coinafrique.com/categorie/moutons","Mouton Ladoum","350 000CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_4969224_uploaded_image1_1727728741.jpg","",""
"1751050245-73","https://sn.coinafrique.com/categorie/moutons","Mouton Ladoum","350 000CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_4969221_uploaded_image1_1727728659.jpg","",""
"1751050245-74","https://sn.coinafrique.com/categorie/moutons","Mouton Ladoum","650 000CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_4969219_uploaded_image1_1727728556.jpg","",""
"1751050245-75","https://sn.coinafrique.com/categorie/moutons","Femelle Ladoume","200 000CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_4961186_uploaded_image1_1727261381.jpg","",""
"1751050245-76","https://sn.coinafrique.com/categorie/moutons","Landoum pur","1 200 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4948067_uploaded_image1_1726569636.jpg","",""
"1751050245-77","https://sn.coinafrique.com/categorie/moutons","Mouton Ladoum","800 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_4931367_uploaded_image1_1725633697.jpg","",""
"1751050245-78","https://sn.coinafrique.com/categorie/moutons","Mouton Ladoum","350 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_4905476_uploaded_image1_1724281103.jpg","",""
"1751050245-79","https://sn.coinafrique.com/categorie/moutons","Ladoum Mix","250 000CFA","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_4885680_uploaded_image1_1723205050.jpg","",""
"1751050245-80","https://sn.coinafrique.com/categorie/moutons","Mouton","75 000CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_4879970_uploaded_image1_1722945913.jpg","",""
"1751050245-81","https://sn.coinafrique.com/categorie/moutons","Mouton","Prix sur demande","Niaga, Sénégal","https://images.coinafrique.com/thumb_4853595_uploaded_image1_1721562658.jpg","",""
"1751050245-82","https://sn.coinafrique.com/categorie/moutons","Femelle ladoum noir et blanc","400 000CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_4852565_uploaded_image1_1721485586.jpg","",""
"1751050245-83","https://sn.coinafrique.com/categorie/moutons","Femelle Ladoum","400 000CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_4848659_uploaded_image1_1721291754.jpg","",""
"1751050245-84","https://sn.coinafrique.com/categorie/moutons","Mouton Ladoum","Prix sur demande","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_4840583_uploaded_image1_1720818332.jpg","",""
